name,Eads,dCenter,WorkFunc,X,Y,Z,BaderCharge_K,Δq_K
CoCoCoCo,-1.19477565,-4.025741448,5.376199603,740.966926,706.14449,1.927716,8.11373,-0.88627
CoCoCoCu,-1.21784767,-4.075236187,5.385915512,578.006917,1209.611,2.165138,8.111601,-0.888399
CoCoCoFe,-1.37547925,-4.736433411,5.108929084,1083.361344,3042.368591,4.344599,8.115806,-0.884194
CoCoCoMn,-1.35591922,-4.705992592,5.064339813,1140.691263,13037.05053,1.806541,8.117469,-0.882531
CoCoCoNi,-1.19893981,-4.05340575,5.371627686,491.281126,748.200168,2.060297,8.109419,-0.890581
CoCoCuCu,-1.35080955,-4.046716344,5.455226248,731.438299,514.131862,2.522935,8.110314,-0.889686
CoCoCuFe,-1.4538307,-3.950025725,5.426790923,843.302342,801.942589,1.783999,8.114643,-0.885357
CoCoCuMn,-1.47969778,-3.943476864,5.411338253,1354.59823,1541.932498,1.749117,8.116018,-0.883982
CoCoCuNi,-1.39269649,-4.019805312,5.271460497,917.557647,485.641021,2.396116,8.110287,-0.889713
CoCoMnFe,-1.30621771,-4.701148874,5.372240557,4402.947529,4836.737156,2.296188,8.117739,-0.882261
CoCoMnNi,-1.20226378,-4.781758985,5.303419674,2214.962234,2111.495855,2.124799,8.113287,-0.886713
CoCoNiFe,-1.35447021,-3.976613826,5.390586823,944.813619,1005.096724,2.072316,8.11393,-0.88607
CoCoNiNi,-1.28009311,-4.045820314,5.410224332,694.751532,706.306635,2.32628,8.109695,-0.890305
CoCuCoCu,-1.22105095,-4.112659267,5.397536029,327.216342,361.196775,2.112823,8.109537,-0.890463
CoCuCoFe,-1.28316815,-4.017252958,5.400160755,531.528396,577.417795,2.017409,8.1143,-0.8857
CoCuCoMn,-1.33081511,-4.001395648,5.412549356,623.691267,1925.697685,1.813236,8.115247,-0.884753
CoCuCoNi,-1.21827172,-4.084104043,5.40768191,842.643098,355.260642,1.819289,8.109263,-0.890737
CoMnCoFe,-1.40830024,-4.676126679,4.925422478,515.407117,1184.546167,1.67157,8.118667,-0.881333
CoMnCoNi,-1.27390287,-4.745225385,5.284434448,2259.127817,2298.332946,1.703628,8.114595,-0.885405
CoNiCoFe,-1.0436424,-4.001038869,5.401432348,832.554127,682.109163,2.003111,8.072011,-0.927989
CoNiCoNi,-1.23589776,-4.06954843,5.407490032,1195.553626,554.131854,1.885442,8.109505,-0.890495
CuCoCuFe,-1.56738007,-3.941636594,5.486260142,464.347284,959.595781,1.88201,8.11433,-0.88567
CuCoCuMn,-1.56940416,-3.941250062,5.341409533,2201.969203,1405.694659,1.706056,8.115044,-0.884956
CuCoCuNi,-1.50369041,-4.012825932,5.486859742,1298.840534,365.721379,2.425168,8.109609,-0.890391
CuCuCoFe,-1.44364737,-3.998564278,5.466270929,994.781587,1181.408534,2.194952,8.112155,-0.887845
CuCuCoMn,-1.47676556,-3.988409989,5.471235949,505.63704,1848.267775,1.917022,8.114188,-0.885812
CuCuCoNi,-1.38608588,-4.06825229,5.466506387,1031.721837,528.393036,2.374337,8.107317,-0.892683
CuCuCuCo,-1.51308407,-4.025361075,5.478225862,410.079404,544.272127,1.947938,8.110264,-0.889736
CuCuCuCu,-1.367679,-4.087417546,5.507971232,177.990853,111.793034,1.86395,8.107103,-0.892897
CuCuCuFe,-1.58203965,-3.970250672,5.543072633,675.625883,1425.700202,1.828736,8.112067,-0.887933
CuCuCuMn,-1.59163292,-3.967476575,5.531948783,665.625497,2266.062608,1.753391,8.113406,-0.886594
CuCuCuNi,-1.48624886,-4.048941421,5.438328995,234.253174,195.259302,2.168229,8.107345,-0.892655
CuCuMnFe,-1.4440215,-3.986786719,5.435216884,4976.511308,4808.927853,2.359044,8.113744,-0.886256
CuCuMnNi,-1.36429822,-4.062444467,5.303719932,1255.094306,1145.182837,2.634127,8.10966,-0.89034
CuCuNiFe,-1.48680969,-4.003501063,5.339905665,1051.631984,1027.051667,1.868085,8.111856,-0.888144
CuMnCuFe,-1.64083425,-3.895868718,5.486449787,3443.174035,2929.161145,1.564469,8.118115,-0.881885
CuMnCuNi,-1.5404255,-3.977685573,5.12362027,894.852171,1896.60552,1.759229,8.113543,-0.886457
CuNiCuFe,-1.57830998,-3.965659122,5.145649019,446.078541,1350.59289,1.966632,8.113043,-0.886957
FeCoFeCo,-1.20582219,-4.733863211,5.340920397,4078.15888,2461.85521,1.977105,8.11733,-0.88267
FeNiCoCu,-1.19396797,-4.081974451,5.372031939,1709.605107,1230.751288,1.714085,8.110531,-0.889469
FeCoCuNi,-1.37722991,-4.008834751,5.379934268,3176.9018,1866.380156,2.382558,8.111464,-0.888536
FeCuFeCo,-1.17269906,-4.034067264,5.364731139,1876.548601,2160.009137,1.669873,8.115334,-0.884666
FeCuFeCu,-1.1673911,-4.080362465,5.377436019,1128.750923,782.552293,1.711119,8.114022,-0.885978
FeCuFeMn,-1.33697992,-4.711780778,5.326004627,2444.245782,2281.14126,1.552036,8.119369,-0.880631
