Mn,Fe,Co,Ni,Cu,E_f(eV/atom),Eads,dCenter,WorkFunc,X,Y,Z,Δq_K
10,10,13,22,5,-0.043610972,-1.3017004010422928,-4.44131922165727,5.269903217111766,2372.8234421241177,2283.374060820193,2.000815964882372,-0.8865074987380455
10,10,14,3,23,-0.076769358,-1.3447854594934736,-4.36707152146611,5.3549219106920125,2349.508496116021,2267.437763810306,1.874086467038032,-0.8836242406462829
10,10,26,10,4,0.128996245,-1.2998562231601676,-4.512859542528388,5.297113995753596,2443.4678248731148,2325.647496525488,2.028988898783608,-0.8846936036618906
10,10,3,19,18,-0.207028823,-1.3459716204729646,-4.319286211643362,5.248865116245326,2240.192637935679,2191.019198227872,1.990249589423236,-0.8862300643734332
10,10,36,2,2,0.264348705,-1.301027457963548,-4.641537471879226,5.2809445114270375,2691.931360231561,2779.7892412372253,2.2975407130185737,-0.8828491017890076
10,10,5,16,19,-0.183348325,-1.3438501181536944,-4.324239372894548,5.277127323735162,2374.223534987742,2309.582385795384,1.966802025835356,-0.8863127836649244
10,10,5,26,9,-0.158026882,-1.3159231707211825,-4.376704436400758,5.232434192766541,2306.981016749816,2313.870662952412,2.063681738303561,-0.887829718157801
10,10,7,17,16,-0.149812542,-1.339924688028629,-4.344849634066752,5.282580329992012,2317.828113881272,2212.2189256608563,1.953978912217909,-0.8854360358189152
10,10,8,23,9,-0.118809195,-1.318429051460239,-4.381687343432876,5.247326600566079,2394.644762783853,2381.5663575782587,2.050566746788816,-0.8867606461021872
10,1,10,21,18,-0.273084494,-1.34075219107811,-4.234527628038032,5.25994149233274,1940.6983116870729,1895.174938054717,2.097758552612712,-0.8876665262859664
10,11,10,22,7,-0.070567237,-1.3106532455905608,-4.431085237738279,5.249795212477801,2362.9040188942345,2340.9727567091054,2.0056963955086773,-0.8863002229131929
10,11,11,4,24,-0.100736509,-1.3642644616472064,-4.341086635895992,5.360266629572188,2140.322728896908,2132.1422117882275,1.8567462849308207,-0.8839203143760004
10,11,12,16,11,-0.054445963,-1.317947499198857,-4.418283812045074,5.284807165714354,2469.981350096501,2345.73239913954,1.9643410159270789,-0.8851087286600517
10,11,12,3,24,-0.087603757,-1.3481915630222747,-4.361395555003129,5.348787966061154,2366.589186865314,2270.917735098874,1.880997323612485,-0.8837674954702915
10,11,13,10,16,-0.054645759,-1.3320553188685726,-4.416935668437818,5.311680058426455,2383.498095145196,2276.2477863491777,1.9234448633395,-0.8840148197120279
10,11,16,11,12,-0.005084265,-1.3131216259101155,-4.441430663510154,5.311982928225681,2403.502927073578,2253.576348497636,1.9270776242864929,-0.8843419619598828
10,11,19,13,7,0.047209084,-1.299979206966715,-4.479728175293708,5.299707844622995,2442.670510067161,2287.763138064119,1.9605569002470444,-0.8849180968131745
10,11,1,9,29,-0.244020903,-1.3924961131056035,-4.277461404185452,5.337157555326898,2365.9002897751825,2428.058697599752,1.8500190067390865,-0.8844933158308595
10,11,2,25,12,-0.187219688,-1.338326346091368,-4.32490400168176,5.254288428847361,2276.17362366547,2293.7711565010923,2.030004439779863,-0.8865259420461352
10,11,2,36,1,-0.159523603,-1.2942731729590964,-4.387382073618834,5.216762729019573,2440.7496130647,2517.309190119013,2.121150490212212,-0.8897271561646284
10,11,24,4,11,0.1018816,-1.3116427309892784,-4.485907868389164,5.326893434782575,2582.453474116768,2451.5810627239216,1.9720929898712567,-0.8833895575051184
10,11,30,5,4,0.197943367,-1.3011662663114911,-4.571068702266208,5.311314256696971,2638.3986012571804,2582.6369876189365,2.084966320778493,-0.8832706488636504
10,11,32,5,2,0.22975547,-1.293202865662184,-4.606651359979059,5.290482324159013,2695.902663384264,2629.2041420439614,2.15287950434898,-0.8835041617076581
10,1,15,23,11,-0.189376195,-1.3056701658445198,-4.300058856613894,5.235758436146409,1897.0573363342764,1861.17075233481,2.151125093095358,-0.8892142045622196
10,11,5,33,1,-0.120159344,-1.2951500833583751,-4.400587759750101,5.243469990133787,2374.9887177901,2358.565183444448,2.089919793918655,-0.8884229677563766
10,1,17,4,28,-0.207682746,-1.3736706500473883,-4.25114976541501,5.356853651436095,1965.3255523899927,1925.801794154192,1.9835234523219687,-0.8847674468928719
10,11,7,5,27,-0.160741214,-1.369822641782151,-4.3092638595918205,5.358831599694579,2407.5504472376315,2386.215897373356,1.8509072866207457,-0.8839892792711522
10,1,18,5,26,-0.189351348,-1.3554908839022437,-4.304839604618649,5.348322503139901,2033.585645458163,1963.2660073290265,1.9787225671303232,-0.8851644626749708
10,11,9,18,12,-0.095884001,-1.3213947643218518,-4.372969659949452,5.271666945418449,2418.874307038829,2337.3354432362967,1.974868241839257,-0.8862728810107201
10,1,21,21,7,-0.101265008,-1.2913323309662994,-4.362562372469618,5.265296656032803,2039.5824535296624,1985.3587290389032,2.1203506182887595,-0.8884625230298994
10,12,16,8,14,0.00750399,-1.3204440369170276,-4.433481405254457,5.331261687684384,2589.022417868984,2420.384172124947,1.911328839754976,-0.8841605672750794
10,12,18,16,4,0.059280186,-1.297028395494589,-4.49006458346233,5.285332860775156,2383.1873906613414,2336.681793768209,2.005729176053457,-0.8858727865260363
10,12,20,11,7,0.077491303,-1.3041368933129889,-4.4624509167398205,5.310309696355679,2495.7144630260345,2397.9644007295747,2.0037455620493803,-0.8848021777801542
10,1,22,25,2,-0.074704082,-1.286439001734604,-4.351368281997372,5.276223450405844,1807.310738551815,1784.5361063113803,2.0928820981928067,-0.8881105722863755
10,12,25,10,3,0.153344483,-1.295796859434209,-4.570356765581336,5.298706589930424,2448.046705191868,2343.350659544902,2.070039311249062,-0.8842187284977442
10,1,22,6,21,-0.124503828,-1.3432172151204609,-4.321438405910539,5.3283391344566216,1995.811410475535,1973.7394982099008,2.06630698095692,-0.8853890423116134
10,12,26,4,8,0.153101719,-1.3098819604978558,-4.53307088838483,5.320504879339185,2585.9825789501087,2521.2328196177764,2.033016527129877,-0.8830216761962647
10,12,31,6,1,0.236405661,-1.288066589168511,-4.621145551681841,5.304176620594572,2761.960756033772,2649.269897499762,2.0737116475631487,-0.8833751537784446
10,1,2,36,11,-0.359291423,-1.324525401766917,-4.240480966957492,5.163042909181288,1898.178225802344,2009.6400724070936,2.302712962142298,-0.8913081683056308
10,12,3,6,29,-0.201172112,-1.3763556845264475,-4.323186074973568,5.348158720863084,2556.1734887480857,2562.845063080877,1.852359562930864,-0.8840299147698084
10,12,4,29,5,-0.126135945,-1.3154313156019195,-4.380866339662635,5.234733920331771,2413.7746513023944,2376.664730249496,2.014919465214939,-0.8865694482192832
10,12,4,5,29,-0.187329452,-1.3847115701059436,-4.298220331045926,5.360095289620688,2528.3614984070605,2553.8695207494734,1.870282979911696,-0.8839878883625544
10,1,24,6,19,-0.092601722,-1.3451952506803195,-4.327102917491246,5.336922452474745,1936.8869321824088,1953.542056231473,2.0815257240163567,-0.8849903802829481
10,1,26,5,18,-0.064283091,-1.3338295968670082,-4.353661720484066,5.3255851528140745,1958.6080689195471,2011.5186406680025,2.152272316881583,-0.8853160765710294
10,12,7,13,18,-0.120373685,-1.3420881962189624,-4.35852777438743,5.3065060227878185,2420.041140085369,2351.357110259207,1.9177775783480435,-0.8847142485112464
10,12,7,23,8,-0.094462372,-1.3052540821475695,-4.411708889926638,5.249441555825298,2465.683040959784,2385.58883106758,2.0141354169373726,-0.8875407017981304
10,1,27,4,18,-0.050947438,-1.3358499718912753,-4.339655152235835,5.335527722757735,1967.215460479909,1959.0951873123704,2.058096974143285,-0.8849775128661956
10,1,27,5,17,-0.04880922,-1.335173489099966,-4.365676891725166,5.318923340860793,1912.378554043205,1969.039136452121,2.119069842566361,-0.885025992243935
10,13,1,23,13,-0.168256682,-1.3412162475284697,-4.33495665121993,5.251046010882623,2419.5178569259574,2406.395488692692,1.961050162440072,-0.8855600589689502
10,13,12,5,20,-0.042892902,-1.338968220246597,-4.389040621554996,5.33960295687792,2469.826244067436,2376.28638155656,1.8596095952097889,-0.8835027088343668
10,13,14,13,10,0.009071283,-1.3080417761723364,-4.440339621122314,5.307447238616933,2603.373269297062,2374.0480068107577,1.883200013484816,-0.884587258774633
10,13,14,17,6,0.019731841,-1.3046326094720473,-4.468230860865964,5.302977487338234,2440.2169865118253,2368.445188500025,1.9134241952841209,-0.8847038057815775
10,13,18,14,5,0.074344583,-1.2945878861944216,-4.485731455647732,5.307332214064996,2665.1831716823017,2426.1490505765173,1.9240967551831367,-0.8841427263754368
10,13,20,15,2,0.107972748,-1.288705591966121,-4.514046929450019,5.293597623801468,2473.624497532522,2296.695459308589,1.948625916331321,-0.8860513108644581
10,13,21,1,15,0.087257708,-1.3265114994090006,-4.447901093304576,5.345845502800236,2626.9086673437823,2394.853591796348,1.8775542467411128,-0.8827612533307279
10,13,2,21,14,-0.158165295,-1.3361076188169496,-4.361886971995018,5.248738916922985,2545.0716663359904,2486.75488632975,1.9759613804947624,-0.8858302101303153
10,13,22,9,6,0.123728298,-1.3004770599978577,-4.507871063554293,5.316248105254485,2586.237527834101,2395.281055059995,1.9404406745348608,-0.8840682859282751
10,13,26,7,4,0.181022385,-1.303760857490712,-4.56603214669016,5.304121172404547,2685.632580370187,2645.5425659130774,2.065869342617023,-0.8830468840313697
10,13,4,15,18,-0.142051641,-1.3491527199525886,-4.3505515863376,5.286597099940017,2516.84338937153,2440.9702360637057,1.902383258400108,-0.8848034550559218
10,13,5,26,6,-0.098307643,-1.3182622097687458,-4.376056395504339,5.273091296865166,2351.050688784844,2289.84925440846,1.970401835840843,-0.8852857942441443
10,1,35,7,7,0.081096505,-1.3134325386378078,-4.492859418527978,5.282851637924271,2098.277768278352,2299.635289650604,2.31448120460155,-0.88534152125276
10,13,7,23,7,-0.07432643,-1.3078639681743531,-4.423575967475056,5.246537993699125,2417.1345013895475,2395.474301211076,2.007240875623335,-0.8866069434676374
10,13,8,24,5,-0.056598209,-1.301009908093968,-4.438631349063481,5.252019994132638,2532.721095934701,2432.323336459572,1.989985782491713,-0.8866993617736845
10,14,10,16,10,-0.025375683,-1.325703098999523,-4.411601338523078,5.293652958141603,2485.67790163386,2373.6128172298168,1.9107113106787768,-0.8845765803681774
10,14,11,9,16,-0.028074601,-1.3353921433889449,-4.406096965597862,5.324944568497606,2594.2964735694936,2432.158549406848,1.897610600555493,-0.8841379434183047
10,14,14,13,9,0.028987628,-1.303943187171558,-4.454848378485934,5.301830978342604,2583.441241827559,2425.6324763393127,1.943891441389637,-0.885045892557295
10,14,15,7,14,0.028984021,-1.3211301487999223,-4.453847198782856,5.326845464917699,2491.001407702526,2388.8374055889344,1.9055162376719432,-0.8837102345109384
10,14,16,12,8,0.057558705,-1.305709933580499,-4.496349161864235,5.2992500514881495,2638.196960577963,2435.296731397329,1.926137876458971,-0.884387122742802
10,14,18,6,12,0.07301345,-1.3147868635520892,-4.487578440375718,5.322125330847678,2538.317863519096,2373.0002768020336,1.908311277045637,-0.8834597571922859
10,14,2,22,12,-0.134878257,-1.337307657694186,-4.344923358295144,5.258071882361456,2410.296031247491,2387.485845384072,1.972343309933701,-0.8853355112267403
10,14,22,3,11,0.128138623,-1.307091888117309,-4.514436020680282,5.325479863324352,2666.5316800253377,2480.763208495684,1.9287970704824589,-0.882721730396419
