E_f,Eads,dCenter,WorkFunc,X,Y,Z,deltaq_K,Slope
0.026468221,-1.2465612,-3.9776847,5.4132776,2868.4595,2611.6584,2.2643158,-0.8823898,53.8
0.16332792,-1.2361195,-4.043488,5.4583507,2858.9446,2569.878,2.2525337,-0.88126826,48.81
0.19288078,-1.2079061,-4.0751786,5.414014,2905.8618,2605.1482,2.32324,-0.8826389,34.83
0.068255775,-1.2579765,-4.0266457,5.4148483,3247.3896,3038.4958,2.1546402,-0.88106376,45.46
0.20372978,-1.2395473,-4.10748,5.468994,3282.68,2964.8438,2.0996168,-0.87979954,31.89
0.23343779,-1.2155112,-4.133753,5.423221,3326.6594,3020.3877,2.1734138,-0.88093036,42.74
0.34216794,-1.2324835,-4.162198,5.4970336,3289.2756,2918.4907,2.1013434,-0.8786193,69.94
0.36411852,-1.206956,-4.2064114,5.460323,3379.2446,2955.757,2.1587691,-0.87974346,63.5
0.39806497,-1.1860704,-4.2503796,5.4251833,3350.7751,3030.4236,2.2317736,-0.88103664,48.52
0.24822985,-1.2482615,-4.1638994,5.4692125,3619.5254,3422.5107,1.9923792,-0.87868506,49.21
0.273448,-1.2311722,-4.186615,5.425428,3619.1467,3419.9856,2.0608032,-0.8795643,25.64
0.3786068,-1.2290982,-4.2388215,5.506665,3702.0098,3333.7583,1.9614594,-0.8775703,36.15
0.407357,-1.2115533,-4.266688,5.4651284,3757.5393,3363.321,2.0205662,-0.8783601,22.8
0.43834674,-1.1955934,-4.310177,5.4349923,3714.443,3415.9434,2.0800273,-0.87945575,19.77
0.5420351,-1.20107,-4.340512,5.4902306,3849.9634,3340.1833,2.0357506,-0.8772676,44.87
0.56847894,-1.1854317,-4.3906174,5.4601045,3897.812,3381.3552,2.084326,-0.8783683,28.32
0.10330487,-1.2530398,-4.0650764,5.3554044,3105.4941,2857.2646,2.256047,-0.88152176,25.91
0.24022514,-1.2381716,-4.1423273,5.4195986,3164.5745,2803.9033,2.1865253,-0.88003105,30.76
0.26937738,-1.2113615,-4.1762457,5.371746,3132.903,2850.2751,2.2693663,-0.8814572,24.24
0.37028107,-1.2377906,-4.2172384,5.4627647,3178.924,2841.4446,2.197944,-0.8782462,26.87
0.40109393,-1.205787,-4.252825,5.4119363,3234.5745,2855.0273,2.254777,-0.87972444,51.97
0.4267307,-1.1798321,-4.299023,5.372103,3213.043,2927.6902,2.3172476,-0.8815805,44.17
0.27890542,-1.2553598,-4.187784,5.428205,3437.6772,3199.4167,2.0766284,-0.87861234,20.29
0.304396,-1.2295022,-4.2219296,5.3768673,3464.1162,3260.7212,2.1575513,-0.879915,22.78
0.4160242,-1.2418737,-4.265273,5.4774337,3482.5825,3137.0127,2.0400581,-0.8770859,43.06
0.44113654,-1.2152122,-4.300046,5.4279227,3541.065,3161.3374,2.1014245,-0.87838954,35.97
0.474697,-1.1896591,-4.3478694,5.387874,3513.6462,3241.988,2.1834977,-0.8801746,50.78
0.5794405,-1.2093381,-4.3708034,5.4602675,3654.3599,3198.2798,2.1209905,-0.87674016,56.43
0.6100196,-1.1840428,-4.4140635,5.426851,3656.2566,3231.7812,2.1668515,-0.878284,44.19
0.45196024,-1.255144,-4.320249,5.487086,3730.485,3427.1577,1.9335865,-0.8759798,71.81
0.47830704,-1.2330875,-4.350504,5.441327,3730.8787,3497.207,1.9838825,-0.8771073,28.4
0.5051135,-1.2079027,-4.3907337,5.3980684,3718.086,3596.4436,2.0628455,-0.8787686,51.65
0.61121243,-1.2193135,-4.4106116,5.481205,3917.9993,3453.8093,1.9652922,-0.87556016,49.48
0.6388488,-1.1964585,-4.451846,5.4421062,3883.625,3520.6465,2.0174954,-0.8768823,77.78
0.77799386,-1.1878134,-4.5114617,5.466366,4149.569,3593.2595,2.047728,-0.875312,49.96
0.31361935,-1.2539113,-4.209177,5.384121,3509.1077,3225.3372,2.1708653,-0.87856954,70.43
0.33940458,-1.2209966,-4.2543283,5.314509,3433.7246,3172.0532,2.2625875,-0.8805767,60.97
0.4470096,-1.2427801,-4.296936,5.438129,3569.8208,3183.503,2.1419702,-0.87680566,76.11
0.4758696,-1.2087125,-4.3364625,5.3744507,3580.9055,3146.7725,2.20429,-0.87851,93.04
0.51255167,-1.1826991,-4.3779316,5.3333664,3536.1797,3268.4553,2.270939,-0.88030845,66.4
0.6094303,-1.2076095,-4.3977222,5.4189,3668.8152,3222.9897,2.2067623,-0.876571,72.33
0.64213836,-1.1802193,-4.442471,5.3740115,3704.7568,3270.453,2.2430835,-0.8782967,46.75
0.48565847,-1.2595085,-4.3252997,5.45531,3841.193,3565.8801,2.0076609,-0.8757326,38.59
0.5095121,-1.2294701,-4.358518,5.395507,3809.7063,3547.5046,2.0706651,-0.8771219,34.22
