,Column_1,Column_2,Column_3,Column_4,Column_5
0,2,14,16,15,13
1,10,1,6,40,3
2,19,4,19,14,4
3,11,8,3,18,20
4,16,28,6,2,8
5,16,17,9,4,14
6,12,12,2,21,13
7,16,20,1,20,3
8,2,18,16,10,14
9,1,17,12,20,10
10,12,7,13,7,21
11,2,5,20,25,8
12,25,5,6,13,11
13,1,44,1,10,4
14,18,19,11,8,4
15,1,7,6,26,20
16,4,4,14,34,4
17,15,13,8,22,2
18,2,3,1,7,47
19,20,11,24,2,3
20,4,7,3,29,17
21,3,21,27,6,3
22,6,14,6,23,11
23,4,30,15,10,1
24,3,6,36,9,6
25,7,22,15,10,6
26,13,21,10,1,15
27,8,2,36,5,9
28,4,2,41,1,12
29,27,7,12,10,4
30,13,9,5,6,27
31,13,15,3,3,26
32,2,9,35,13,1
33,2,16,3,32,7
34,5,24,3,9,19
35,6,3,27,15,9
36,8,17,11,10,14
37,2,4,29,13,12
38,4,10,22,23,1
39,2,6,5,26,21
40,23,7,5,13,12
41,34,20,3,2,1
42,12,6,11,22,9
43,3,19,29,8,1
44,8,27,2,20,3
45,13,6,12,17,12
46,19,9,9,10,13
47,2,12,31,4,11
48,21,28,4,1,6
49,5,6,5,21,23
50,2,22,1,27,8
51,25,4,9,20,2
52,3,13,15,15,14
53,4,19,17,3,17
54,8,37,5,8,2
55,11,4,31,8,6
56,1,3,12,34,10
57,9,3,36,7,5
58,2,22,12,21,3
59,12,10,7,3,28
60,8,23,24,2,3
61,4,26,16,11,3
62,9,3,3,1,44
63,12,14,16,10,8
64,31,2,6,12,9
65,6,36,5,7,6
66,2,7,18,9,24
67,20,8,4,2,26
68,6,11,1,3,39
69,34,3,11,8,4
70,38,1,3,13,5
71,1,8,8,25,18
72,8,3,19,17,13
73,18,19,6,14,3
74,17,12,14,12,5
75,3,11,2,35,9
76,20,1,20,15,4
77,27,10,8,9,6
78,5,29,4,17,5
79,4,3,9,28,16
80,2,17,20,1,20
81,1,2,3,17,37
82,19,10,6,23,2
83,10,6,12,8,24
84,17,10,4,16,13
85,3,2,29,6,20
86,8,7,5,26,14
87,28,5,11,10,6
88,6,1,41,2,10
89,3,20,15,15,7
90,13,6,3,34,4
91,10,7,31,5,7
92,7,14,7,13,19
93,10,5,9,10,26
94,18,12,2,17,11
95,21,1,2,2,34
96,29,4,7,7,13
97,8,6,18,7,21
98,23,24,1,8,4
99,19,6,30,1,4
100,1,23,19,1,16
101,23,17,5,9,6
102,35,17,5,1,2
103,3,10,26,10,11
104,9,8,8,13,22
105,4,8,25,13,10
106,2,9,8,1,40
107,8,26,1,19,6
108,18,18,1,15,8
109,1,29,3,26,1
110,15,12,7,5,21
111,18,1,24,10,7
112,7,6,7,33,7
113,10,13,7,2,28
114,4,26,3,9,18
115,14,5,29,3,9
116,6,2,19,18,15
117,25,1,13,13,8
118,10,22,12,8,8
119,6,25,3,10,16
120,7,12,19,19,3
121,25,8,10,1,16
122,8,17,13,7,15
123,43,1,3,10,3
124,4,17,12,4,23
125,41,4,9,1,5
126,17,10,3,8,22
127,15,32,3,4,6
128,1,2,9,28,20
129,3,25,1,14,17
130,2,13,19,24,2
131,1,3,10,40,6
132,4,12,16,24,4
133,7,14,17,17,5
134,19,8,1,16,16
135,1,3,5,50,1
136,9,6,3,38,4
137,8,6,12,27,7
138,20,8,13,7,12
139,2,10,1,43,4
140,1,18,22,9,10
141,18,3,24,7,8
142,19,15,1,13,12
143,9,12,2,30,7
144,41,7,5,1,6
145,9,20,19,11,1
146,13,20,17,5,5
147,12,6,6,24,12
148,22,16,1,14,7
149,6,10,12,7,25
150,3,20,19,5,13
151,2,8,26,5,19
152,11,7,21,5,16
153,9,24,7,18,2
154,2,34,14,7,3
155,7,1,20,9,23
156,2,1,28,21,8
157,26,14,11,8,1
158,8,4,37,2,9
159,16,11,16,2,15
160,28,8,2,10,12
161,1,9,11,2,37
162,7,17,2,10,24
163,8,7,29,7,9
164,3,8,19,19,11
165,15,15,3,13,14
166,26,8,8,2,16
167,17,3,28,8,4
168,6,20,22,4,8
169,4,1,18,21,16
170,20,26,4,8,2
171,12,16,14,10,8
172,14,5,17,7,17
173,2,14,20,2,22
174,40,1,5,6,8
175,10,6,14,18,12
176,12,5,2,37,4
177,15,28,4,9,4
178,42,2,8,4,4
179,11,14,3,11,21
180,10,8,1,36,5
181,18,25,6,4,7
182,12,3,3,16,26
183,4,15,3,13,25
184,21,5,7,25,2
185,5,37,3,13,2
186,23,2,5,29,1
187,32,14,4,8,2
188,2,11,8,28,11
189,31,5,7,13,4
190,1,44,12,2,1
191,29,10,7,3,11
192,4,19,8,24,5
193,18,9,13,15,5
194,8,5,13,1,33
195,9,2,6,9,34
196,33,4,3,5,15
197,5,7,11,7,30
198,1,37,3,8,11
199,33,9,9,3,6
200,2,3,32,11,12
201,10,12,2,16,20
202,10,10,6,33,1
203,1,6,44,4,5
204,12,2,34,5,7
205,1,17,16,17,9
206,26,12,2,11,9
207,4,10,14,18,14
208,5,32,3,6,14
209,27,6,6,1,20
210,3,18,27,2,10
211,6,1,11,4,38
212,12,29,12,2,5
213,4,6,23,4,23
214,18,17,1,13,11
215,17,4,4,10,25
216,2,11,1,27,19
217,4,6,2,29,19
218,9,2,7,13,29
219,4,8,10,11,27
220,8,8,14,20,10
221,2,20,3,22,13
222,6,20,6,20,8
223,23,2,22,10,3
224,1,2,16,28,13
225,24,11,11,5,9
226,1,5,8,42,4
227,12,20,6,20,2
228,1,36,6,5,12
229,12,7,3,15,23
230,4,5,18,9,24
231,20,8,9,8,15
232,7,17,9,5,22
233,14,17,5,22,2
234,25,4,12,17,2
235,2,3,10,9,36
236,21,13,3,18,5
237,2,15,3,20,20
238,12,5,2,30,11
239,9,5,1,41,4
240,10,32,4,11,3
241,9,4,4,6,37
242,4,20,12,4,20
243,30,2,17,7,4
244,5,31,3,9,12
245,38,3,5,1,13
246,4,39,3,1,13
247,23,12,3,11,11
248,1,16,14,18,11
249,5,13,15,11,16
250,13,14,1,4,28
251,11,21,2,3,23
252,4,5,32,12,7
253,16,33,3,3,5
254,18,2,9,28,3
255,3,19,13,10,15
256,27,3,3,21,6
257,6,24,3,2,25
258,9,1,8,35,7
259,12,2,1,18,27
260,22,13,13,3,9
261,15,8,10,17,10
262,21,10,11,7,11
263,11,11,16,18,4
264,4,12,17,6,21
265,13,17,22,1,7
266,9,11,21,11,8
267,2,21,9,27,1
268,17,15,7,13,8
269,14,21,3,12,10
270,4,9,7,16,24
271,21,2,9,2,26
272,16,7,6,9,22
273,12,12,19,13,4
274,20,5,4,16,15
275,22,13,6,3,16
276,2,23,3,28,4
277,16,12,4,22,6
278,4,13,15,23,5
279,3,8,5,10,34
280,15,29,3,8,5
281,1,15,19,21,4
282,30,7,2,3,18
283,8,17,6,15,14
284,3,4,20,21,12
285,29,8,8,10,5
286,1,11,37,7,4
287,12,6,5,14,23
288,14,6,13,17,10
289,5,37,13,1,4
290,18,25,9,5,3
291,5,26,10,3,16
292,15,1,24,1,19
293,10,2,13,28,7
294,9,8,25,11,7
295,22,3,12,16,7
296,17,1,9,28,5
297,13,19,9,3,16
298,5,9,28,4,14
299,17,2,30,6,5
300,22,14,12,6,6
301,17,5,8,23,7
302,1,7,45,6,1
303,12,13,10,16,9
304,24,3,3,8,22
305,12,24,7,14,3
306,10,10,5,20,15
307,6,3,18,31,2
308,11,21,3,3,22
309,1,10,20,8,21
310,20,11,9,13,7
311,18,7,5,13,17
312,9,12,24,12,3
313,32,6,10,5,7
314,4,1,2,29,24
