,0
0,52.869076
1,52.869076
2,52.043095
3,51.3828
4,52.869076
5,51.733173
6,51.00664
7,51.00664
8,51.608288
9,51.666153
10,51.00664
11,50.18066
12,50.119003
13,51.31109
14,49.506447
15,48.909195
16,49.81825
17,49.76394
18,49.866222
19,47.99787
20,47.886715
21,43.887062
22,48.816456
23,49.728092
24,49.83247
25,43.75131
26,46.366688
27,46.881184
28,43.894154
29,48.85826
30,48.875217
31,48.029217
32,44.662968
33,46.32275
34,53.93239
35,56.859028
36,47.634212
37,43.833706
38,48.875217
39,42.826897
40,50.809113
41,50.91522
42,55.37331
43,55.897324
44,57.391346
45,48.14228
46,47.261314
47,43.85296
48,42.834908
49,50.804264
50,59.48271
51,63.06256
52,55.897324
53,49.85854
54,49.85747
55,52.869076
56,52.869076
57,52.869076
58,51.4154
59,52.869076
60,52.558815
61,51.00664
62,51.00664
63,52.43126
64,51.605816
65,51.00664
66,50.64423
67,50.58992
68,52.117584
69,49.48835
70,50.64673
71,50.64423
72,50.58992
73,50.631866
74,49.48835
75,51.79873
76,48.91691
77,48.808784
78,50.559856
79,47.96888
80,48.028183
81,50.234207
82,50.739883
83,43.894154
84,48.85646
85,48.81488
86,47.96888
87,54.660797
88,50.38543
89,49.248093
90,43.775272
91,47.62979
92,43.833706
93,48.898407
94,47.05248
95,54.660797
96,53.75087
97,45.01298
98,42.65545
99,44.107765
100,48.13786
101,47.580887
102,43.875652
103,47.05248
104,53.796658
105,53.75087
106,49.454784
107,42.656075
108,42.621536
109,51.18847
110,48.049732
111,48.088955
112,47.242924
113,46.75562
114,53.80467
115,53.7022
116,49.90983
117,42.74785
118,51.278175
119,43.895264
120,44.268776
121,52.88374
122,49.97095
123,52.901676
124,48.484676
125,49.97095
126,52.472164
127,49.164062
128,48.108517
129,52.202816
130,52.431797
131,47.753452
132,47.746105
133,50.361477
134,52.117584
135,50.31433
136,47.748604
137,47.433422
138,50.359383
139,50.631866
140,50.28058
141,51.70464
142,47.26015
143,47.39215
144,50.32882
145,48.79486
146,49.70652
147,51.150517
148,50.709118
149,42.271523
150,48.585342
151,48.545826
152,48.79486
153,55.48678
154,50.729996
155,49.23682
156,48.05476
157,46.014507
158,43.605263
159,48.855732
160,47.044468
161,55.48678
162,55.171806
163,49.237377
164,46.569668
165,46.53547
166,46.21409
167,47.35035
168,43.87936
169,47.05248
170,53.73632
171,53.690533
172,53.673943
173,46.577347
174,46.536026
175,33.72853
176,46.150047
177,47.861607
178,50.123417
179,47.667805
180,53.826443
181,52.745647
182,46.508705
183,46.536396
184,47.674908
185,33.71207
186,30.627865
187,46.147434
188,47.77348
189,53.795513
190,56.815334
191,53.547077
192,52.759624
193,46.508705
194,46.53564
195,42.345474
196,33.876026
197,30.628496
198,40.015633
199,49.8574
200,49.79888
201,49.953014
202,48.046387
203,49.53266
204,49.587444
205,48.04932
206,48.046387
207,50.327633
208,50.565456
209,47.694256
210,47.683975
211,47.44508
212,48.958416
213,50.053288
214,47.694256
215,47.37163
216,47.239956
217,45.635693
218,50.052135
219,52.53062
220,47.200954
221,47.33002
222,47.412422
223,45.635693
224,51.077568
225,52.63679
226,52.19039
227,42.205196
228,46.87532
229,48.44879
230,45.635693
231,55.51938
232,50.729996
233,50.718094
234,49.48094
235,45.667637
236,41.79455
237,46.979397
238,45.630844
239,55.519314
240,55.171806
241,50.71865
242,47.998474
243,47.966652
244,46.176044
245,45.54492
246,47.663937
247,46.348846
248,55.46997
249,55.165977
250,47.995224
251,47.962578
252,47.619816
253,39.295002
254,46.086117
255,46.076736
256,51.411118
257,51.94376
258,53.850502
259,55.16046
260,47.995224
261,47.961823
262,47.934208
263,39.29556
264,35.201168
265,46.085304
266,45.98861
267,51.942932
268,59.632053
269,53.126526
270,53.414917
271,47.99585
272,46.480934
273,39.2135
274,36.595913
275,36.210663
276,31.283762
277,45.21907
278,45.987797
279,51.854805
280,60.537148
281,55.911133
282,53.309654
283,46.456146
284,47.619816
285,39.29556
286,35.200535
